"date","message","Number of files","Number of lines","0 - Ruby","1 - Haml","2 - YAML","3 - SASS","4 - JSON"
"2016-03-14 10:53:50 +0000","Merge pull request #1166 from ministryofjustice/vat-registration-refactor  Add vat_registered? and supplier_number methods to the Claim","852","33573","23199","3683","1455","2128","1301"
"2016-03-14 10:44:07 +0000","Merge pull request #1163 from ministryofjustice/reallocations_in_mi  deal with deallocation in MI; revert to submission state","852","33537","23163","3683","1455","2128","1301"
"2016-03-14 10:30:36 +0000","Merge pull request #1164 from ministryofjustice/rails-and-other-updates  Update Rails, Capybara and poltergeist","852","33499","23125","3683","1455","2128","1301"
"2016-03-14 10:05:44 +0000","Merge pull request #1155 from ministryofjustice/background_mi  WIP: waiting for redis on live server before deploy: Background generation of Management Information report","852","33499","23125","3683","1455","2128","1301"
"2016-03-14 10:05:01 +0000","Merge pull request #1161 from ministryofjustice/redis-server-docker  Redis server docker","849","33273","22912","3670","1455","2128","1301"
"2016-03-14 09:25:57 +0000","Merge pull request #1165 from ministryofjustice/flicker-fix  Fix flickering tests where random creation of offence class causes in…","849","33271","22912","3670","1455","2128","1301"
"2016-03-11 13:14:49 +0000","Merge pull request #1160 from ministryofjustice/seedhelper-require  Adding a missing seed_helper require.","849","33267","22908","3670","1455","2128","1301"
"2016-03-11 12:53:18 +0000","Merge pull request #1153 from ministryofjustice/disbursements  Add Disbursements for LGFS claims.","849","33266","22907","3670","1455","2128","1301"
"2016-03-11 11:50:51 +0000","Merge pull request #1159 from ministryofjustice/issue-1127  Issue 1127","835","32994","22635","3670","1455","2128","1301"
"2016-03-11 10:39:01 +0000","Merge pull request #1157 from ministryofjustice/remove-caseworker-working-days  Remove days worked from case worker","835","32999","22635","3670","1455","2135","1301"
"2016-03-11 10:37:56 +0000","Merge pull request #1154 from ministryofjustice/litigator-abilities  modify cancan abilities (authorisation) to handle basic litigator journey","834","33138","22744","3687","1468","2135","1301"
"2016-03-10 12:56:40 +0000","Merge pull request #1148 from ministryofjustice/keep-messages-panel-open  Retain visibility of messages section when processing claim","834","32991","22597","3687","1468","2135","1301"
"2016-03-10 11:38:46 +0000","Merge pull request #1145 from ministryofjustice/issues-1139  Issues 1139","834","32987","22594","3686","1468","2135","1301"
"2016-03-10 11:00:55 +0000","Merge pull request #1140 from ministryofjustice/generic-error-templates  Standard error summary template","834","32945","22594","3678","1468","2101","1301"
"2016-03-09 09:21:31 +0000","Merge pull request #1143 from ministryofjustice/fee_type_pop  Add roles to FeeTypes","833","32994","22591","3734","1464","2101","1301"
"2016-03-09 09:18:22 +0000","Merge pull request #1134 from ministryofjustice/refactor-feedback-and-bug_report  Refactor Feedback and BugReport into single model and controller","833","32897","22494","3734","1464","2101","1301"
"2016-03-08 16:08:55 +0000","Merge pull request #1142 from ministryofjustice/improve-financial-summary-controller  improve financial summary controller code climate","837","32895","22494","3732","1464","2101","1301"
"2016-03-08 15:49:14 +0000","Merge pull request #1141 from ministryofjustice/feature_refactor  Move slow feature test to controller specs","837","32910","22509","3732","1464","2101","1301"
"2016-03-08 15:47:29 +0000","Merge pull request #1138 from ministryofjustice/issues-1137  amended tables again","837","32866","22465","3732","1464","2101","1301"
"2016-03-08 15:21:01 +0000","Merge pull request #1136 from ministryofjustice/litigator-dashboard-first-pass  Litigator dashboard first pass","837","32878","22465","3731","1464","2114","1301"
"2016-03-08 14:20:57 +0000","Merge pull request #1131 from ministryofjustice/document-file-size-display  Display document and message attachment file sizes","831","32447","22051","3717","1461","2114","1301"
"2016-03-08 10:16:51 +0000","Merge pull request #1135 from ministryofjustice/case_type_demo_data  Demo data fix for case types","831","32436","22045","3713","1460","2114","1301"
"2016-03-07 20:04:53 +0000","Merge pull request #1133 from ministryofjustice/govuk-elements  implement Govuk elements","831","32436","22045","3713","1460","2114","1301"
"2016-03-07 12:42:02 +0000","Merge pull request #1132 from ministryofjustice/dates  Replace slow cukes to test date formats with model specs","830","32336","22045","3712","1460","2175","1301"
"2016-03-07 12:41:29 +0000","Merge pull request #1081 from ministryofjustice/case_type_sub_class  Add parent/child relationship in case types","829","32295","22004","3712","1460","2175","1301"
"2016-03-04 09:49:35 +0000","Merge pull request #1129 from ministryofjustice/clean-up-headers-to-partial  Clean up headers to partial","827","32125","21834","3712","1460","2175","1301"
"2016-03-03 15:27:38 +0000","Merge pull request #1128 from ministryofjustice/fix-json-importer-messages  fix position of the json importer messages","826","32155","21827","3753","1460","2175","1301"
"2016-03-03 13:28:34 +0000","Merge pull request #1126 from ministryofjustice/bypass-feedback-on-devunicorn  prevent redirect to feedback on sign out of devunicorn environment","826","32157","21827","3753","1460","2177","1301"
"2016-03-02 22:12:32 +0000","Merge pull request #1123 from ministryofjustice/fix-cracked-trial-feature-test  fix flickering cracked trial feature test","826","32157","21827","3753","1460","2177","1301"
"2016-03-02 21:54:36 +0000","Merge pull request #1117 from ministryofjustice/issues-1102  fixes #1102  notice another bug related to the imported too but raised as separate issue here https://github.com/ministryofjustice/advocate-defence-payments/issues/1124","826","32159","21829","3753","1460","2177","1301"
"2016-03-02 21:08:51 +0000","Merge pull request #1118 from ministryofjustice/issues-1114  fixes 1114","826","32160","21829","3753","1460","2178","1301"
"2016-03-02 19:46:31 +0000","Merge pull request #1122 from ministryofjustice/fix-develop-demo-data  merging myself as fixes an error resulting from changes i made to Faz's issues-1120 branch while fixing it (i had changes to head that got added in inadvertently)  remove changes that somehow got merged into develop","826","32157","21829","3750","1460","2178","1301"
"2016-03-02 17:32:51 +0000","Merge pull request #1121 from ministryofjustice/issues-1120  fixes clearing issue on gamma","827","32186","21858","3750","1460","2178","1301"
"2016-03-02 17:15:58 +0000","Merge pull request #1119 from ministryofjustice/issues-1115  fixes #1115","826","32153","21829","3750","1460","2174","1301"
"2016-03-02 14:47:21 +0000","Merge pull request #1116 from ministryofjustice/issues-1111  fixes issue #1111","826","32154","21829","3754","1460","2171","1301"
"2016-03-02 14:21:04 +0000","Update README.md","826","32134","21829","3750","1460","2155","1301"
"2016-03-02 14:09:03 +0000","Merge pull request #1110 from ministryofjustice/tag-features  Start tagging cucumber features and scenarios","826","32134","21829","3750","1460","2155","1301"
"2016-03-02 09:28:22 +0000","Merge pull request #1109 from ministryofjustice/hotfix-retrialdates  quick fix for #1107, #1103","826","32134","21829","3750","1460","2155","1301"
"2016-03-01 15:06:07 +0000","Merge pull request #1106 from ministryofjustice/wip-flickering-cuke  wip flickering cuke","825","32071","21829","3757","1460","2085","1301"
"2016-03-01 14:35:47 +0000","Merge pull request #1105 from ministryofjustice/fix-cracked-at-third-bug  Fix cracked at third bug","825","32071","21829","3757","1460","2085","1301"
"2016-03-01 13:33:49 +0000","Merge pull request #1104 from ministryofjustice/increase-unicorn-timeout  Increase unicorn timeout from 15 to 20 seconds","823","32001","21767","3757","1452","2085","1301"
"2016-03-01 11:23:20 +0000","Merge pull request #1101 from ministryofjustice/update-to-rails_4.2.5.2  Update to Rails 4.2.5.2 in response to CVE 2016-2097 and 2016-2098","823","32001","21767","3757","1452","2085","1301"
"2016-03-01 11:09:07 +0000","Merge pull request #1097 from ministryofjustice/fix-total-auth-mi  Fix financial summary authorised total","823","32001","21767","3757","1452","2085","1301"
"2016-02-29 16:34:35 +0000","Merge pull request #1096 from ministryofjustice/remove_debug_lines  debug lines left in _message.html.haml","823","31991","21760","3754","1452","2085","1301"
"2016-02-29 16:32:57 +0000","Merge pull request #1095 from ministryofjustice/fix-sass-errors  Remove obsolete ""user"" specific  sass files","823","31993","21760","3756","1452","2085","1301"
"2016-02-29 14:45:57 +0000","Merge pull request #1094 from ministryofjustice/modify-flickering-cuke  attempt to improve advocate new claim flickering cuke","827","32083","21760","3756","1452","2175","1301"
"2016-02-29 14:28:16 +0000","Merge pull request #1077 from ministryofjustice/page-claims  Page claims","827","32082","21759","3756","1452","2175","1301"
"2016-02-29 13:45:39 +0000","Merge pull request #1088 from ministryofjustice/claim_ownership  Refactor Claim ownership for AGFS/LGFS","829","32123","21757","3706","1448","2272","1301"
"2016-02-29 13:39:26 +0000","Merge pull request #1093 from ministryofjustice/add_roles_to_fee_types  Add roles to fee types","829","32127","21763","3704","1448","2272","1301"
"2016-02-29 10:58:13 +0000","Merge pull request #1091 from ministryofjustice/fix-claim-duplication-bug  Handle duplication of claim when using back button to return to form","828","32107","21743","3704","1448","2272","1301"
"2016-02-29 10:04:20 +0000","Merge pull request #1092 from ministryofjustice/remove-random-code-from-fee-type-factory  ensure fee type factory never generates a ""real"" code","828","32090","21726","3704","1448","2272","1301"
"2016-02-26 12:56:02 +0000","Merge pull request #1090 from ministryofjustice/upload-hotfix  hotfix for upload button in messages","828","32087","21723","3704","1448","2272","1301"
"2016-02-26 09:35:43 +0000","Merge pull request #1085 from ministryofjustice/sign-out-copy  ensure sign out flashes message confirming sign out","828","32104","21723","3707","1448","2286","1301"
"2016-02-26 09:34:20 +0000","Merge pull request #1086 from ministryofjustice/handle-certification-bug  Fix bug where submission of certification is attempted more than once","828","32101","21720","3707","1448","2286","1301"
"2016-02-25 17:16:14 +0000","Merge pull request #1084 from ministryofjustice/prevent_instatiation_of_base_fee  Prevent instantiation of base fee","828","32086","21705","3707","1448","2286","1301"
"2016-02-25 11:46:10 +0000","Merge pull request #1082 from ministryofjustice/fix-basic-fee-bugs  Fix basic fee bugs","828","32058","21677","3707","1448","2286","1301"
"2016-02-25 08:26:58 +0000","Merge pull request #1079 from ministryofjustice/prevent_base_fee_type_instantiation  use class double for testing abstract class BaseFeeType","826","31987","21606","3707","1448","2286","1301"
"2016-02-24 15:36:25 +0000","Merge pull request #1080 from ministryofjustice/fix-offence-select-partial-bug  Fix reference to offence select partial","826","31967","21586","3707","1448","2286","1301"
"2016-02-24 15:02:04 +0000","Merge pull request #1078 from ministryofjustice/migration_bugfix_2  fix missing colon","826","31967","21586","3707","1448","2286","1301"
"2016-02-24 14:18:44 +0000","Merge pull request #1075 from ministryofjustice/use_settings_for_claim_actions  standardise use of claim action options","826","31967","21586","3707","1448","2286","1301"
"2016-02-24 13:22:07 +0000","Merge pull request #1076 from ministryofjustice/migration_bugfix  Fix Migration Bug","826","31967","21586","3707","1448","2286","1301"
"2016-02-24 11:19:42 +0000","Merge pull request #1073 from ministryofjustice/implement-litigator-offence-validator  Implement litigator offence validator","826","31963","21582","3707","1448","2286","1301"
"2016-02-23 16:26:40 +0000","Merge pull request #1071 from ministryofjustice/add-roles-to-expense-types  Add roles 'agfs' and 'lgfs' to expense types","824","31866","21485","3707","1448","2286","1301"
"2016-02-23 15:23:58 +0000","Merge pull request #1072 from ministryofjustice/fix_smoke_test  Remove FeeCategory from smoke test","823","31847","21466","3707","1448","2286","1301"
"2016-02-23 14:24:19 +0000","Merge remote-tracking branch 'origin/case_type_role' into develop  Conflicts: 	db/schema.rb","823","31849","21468","3707","1448","2286","1301"
"2016-02-23 14:09:35 +0000","Merge pull request #1070 from ministryofjustice/remove_fee_category  Remove Fee Category class and underlying database table.","821","31802","21421","3707","1448","2286","1301"
"2016-02-23 13:54:03 +0000","Merge pull request #1067 from ministryofjustice/ui-grid  Refactor the services UI grid","820","31798","21417","3707","1448","2286","1301"
"2016-02-23 11:45:34 +0000","Merge pull request #1068 from ministryofjustice/csv  Remove class names from fee types seed file","818","30933","21419","3774","1448","1364","1301"
"2016-02-23 10:24:14 +0000","Merge pull request #1066 from ministryofjustice/fees  Implement STI on Fee and FeeType classes","818","30933","21419","3774","1448","1364","1301"
"2016-02-22 16:33:18 +0000","Merge pull request #1063 from ministryofjustice/refactor_message_views  clean up logic in message controls partial","805","31095","21578","3777","1448","1364","1301"
"2016-02-22 14:51:04 +0000","Merge pull request #1065 from ministryofjustice/fix-maat-reference-validation  Fix MAAT reference validation","805","31073","21568","3776","1437","1364","1301"
"2016-02-22 12:43:51 +0000","Merge pull request #1064 from ministryofjustice/confirm_written_reasons  written reasons received is more helpful than state in history","805","31028","21523","3776","1437","1364","1301"
"2016-02-22 09:14:38 +0000","Merge pull request #1060 from ministryofjustice/remove-redundant-specs  Remove redundant specs from external user spec","805","31012","21507","3776","1437","1364","1301"
"2016-02-22 09:14:17 +0000","Merge pull request #1062 from ministryofjustice/refactor-claim-partials  Refactor claim partials file names","805","31028","21523","3776","1437","1364","1301"
"2016-02-19 16:51:59 +0000","Merge pull request #1061 from ministryofjustice/fix-presenter-bug  Fix bug with Draft claims expenses","805","31029","21523","3776","1438","1364","1301"
"2016-02-19 10:03:48 +0000","Merge pull request #1059 from ministryofjustice/db_seed_bugfix  Fix bug in db:seed - ensure advocate claims have agfs external users","804","30985","21479","3776","1438","1364","1301"
"2016-02-18 17:50:16 +0000","Merge pull request #1058 from ministryofjustice/clean-up-maat-reference-validation  Minor refactor of MAAT reference validation","804","30985","21479","3776","1438","1364","1301"
"2016-02-18 14:23:37 +0000","Merge pull request #1056 from ministryofjustice/refactor-form-input-to-event  Refactor out method to map form inputs to events","804","30986","21480","3776","1438","1364","1301"
"2016-02-18 14:22:12 +0000","Merge pull request #1057 from ministryofjustice/claim-representation-orders-association  Make #representation_orders a through association for claim","803","30975","21469","3776","1438","1364","1301"
"2016-02-18 10:26:05 +0000","Merge pull request #1055 from ministryofjustice/sensitive-param-filtering  Filter sensitive params from logs","803","30976","21470","3776","1438","1364","1301"
"2016-02-17 16:59:01 +0000","Merge pull request #1054 from ministryofjustice/tweek-email-copy  very minor tweak to the email copy","803","30968","21462","3776","1438","1364","1301"
"2016-02-17 14:53:28 +0000","Merge pull request #1050 from ministryofjustice/update-claim-detail-for-redetermination  Perform page reload when redetermination or awaiting written reasons","803","30968","21462","3776","1438","1364","1301"
"2016-02-17 14:06:21 +0000","Merge pull request #1052 from ministryofjustice/eu2  Validate Creator and ExternalUser on a claim have appropriate roles","803","30961","21459","3776","1438","1364","1301"
"2016-02-17 13:09:07 +0000","Merge pull request #1053 from ministryofjustice/modify-email-copy  add link expire instructions in welcome and reset emails","801","30873","21371","3776","1438","1364","1301"
"2016-02-17 11:19:46 +0000","Merge pull request #1051 from ministryofjustice/fix-reporder-cocoon-remove-link-bug  Fix a bug that related to rep order remove links","801","30884","21382","3776","1438","1364","1301"
"2016-02-16 16:06:42 +0000","Merge pull request #1049 from ministryofjustice/external_user  Tidy up validations","801","30884","21382","3776","1438","1364","1301"
"2016-02-16 15:39:03 +0000","Merge pull request #1047 from ministryofjustice/archive-state-valid-tranistions  Set valid transitions to archive_pending_delete","801","30886","21384","3776","1438","1364","1301"
"2016-02-16 14:45:58 +0000","Merge pull request #1048 from ministryofjustice/fix-markup-1  Clean up allocation/re-allocation markup","801","30886","21384","3776","1438","1364","1301"
"2016-02-16 11:51:24 +0000","Merge pull request #1046 from ministryofjustice/abstract  Prevent instantiation of Claim::BaseClaim","801","30894","21384","3784","1438","1364","1301"
"2016-02-16 11:25:24 +0000","Merge pull request #1042 from ministryofjustice/remove-user_roles_spec  Shared examples in roles.rb, user_roles_spec.rb unneeded","798","30823","21313","3784","1438","1364","1301"
"2016-02-16 11:21:18 +0000","Merge pull request #1045 from ministryofjustice/claim-validator-splitting  add namespaced claim model validators","799","30876","21366","3784","1438","1364","1301"
"2016-02-16 10:01:49 +0000","Merge pull request #1043 from ministryofjustice/spec-claim-presenters  spec the basic subclasses of the bas claim presenter","795","30868","21358","3784","1438","1364","1301"
"2016-02-16 10:01:24 +0000","Merge pull request #1044 from ministryofjustice/modify-sti-data-migration  amend claim type (STI) data migration","793","30854","21344","3784","1438","1364","1301"
"2016-02-15 16:57:42 +0000","Merge pull request #1041 from ministryofjustice/fix-sti-presenters  fix presenter bug for existing claims","792","30849","21339","3784","1438","1364","1301"
"2016-02-15 16:39:26 +0000","Merge pull request #1040 from ministryofjustice/refactor-validators  Refactor validators","790","30845","21335","3784","1438","1364","1301"
"2016-02-15 16:35:02 +0000","Merge pull request #1037 from ministryofjustice/sort_chamber_list  sort providers by name for superadmins","792","30865","21355","3784","1438","1364","1301"
"2016-02-15 15:04:26 +0000","Merge pull request #1038 from ministryofjustice/ensure-provider-seeds-idempotent  ensure provider seeds are idempotent and do not search on role","792","30865","21355","3784","1438","1364","1301"
"2016-02-15 13:52:12 +0000","Merge pull request #1039 from ministryofjustice/fix-deallocation-state-transition  Transition to state prior to allocation when deallocating","792","30815","21305","3784","1438","1364","1301"
"2016-02-15 12:29:15 +0000","Merge pull request #1035 from ministryofjustice/sti_spike  Enable STI on claims","792","30804","21294","3784","1438","1364","1301"
"2016-02-12 15:38:40 +0000","Merge pull request #1034 from ministryofjustice/fix-super-admin-check  fix email contact for super admin created users","790","30417","21170","3784","1438","1364","1038"
"2016-02-12 12:55:47 +0000","Merge pull request #1033 from ministryofjustice/add-email-contact-to-welcome-email  Add email contact to welcome email","790","30415","21168","3784","1438","1364","1038"
"2016-02-12 09:37:16 +0000","Merge pull request #1032 from ministryofjustice/fixup-bug-feedback-markup  fix bug/feedback pages markup","790","30374","21132","3779","1438","1364","1038"
"2016-02-12 09:37:02 +0000","Merge pull request #1028 from ministryofjustice/plan-cukes-structure  Add Cucumber instructions and dev guide","790","30374","21132","3779","1438","1364","1038"
"2016-02-11 16:00:18 +0000","Merge pull request #1031 from ministryofjustice/fix-update-claim-markup  remove fieldset and tidy up some of the markup.","790","30374","21132","3779","1438","1364","1038"
"2016-02-11 15:29:48 +0000","Merge pull request #1030 from ministryofjustice/fix-broken-cocoon-associations  Fix broken cocoon associations","790","30372","21132","3777","1438","1364","1038"
"2016-02-11 14:23:38 +0000","Merge pull request #1029 from ministryofjustice/add-mailer-info-to-readme  add env vars and mailer url to readme","790","30377","21132","3782","1438","1364","1038"
"2016-02-11 10:54:43 +0000","Merge pull request #1027 from ministryofjustice/tweek-email-copy  modify copy in welcome instructions email","790","30377","21132","3782","1438","1364","1038"
"2016-02-11 09:43:31 +0000","Merge pull request #1026 from ministryofjustice/ensure-email-images-display  Ensure email images display","790","30376","21132","3781","1438","1364","1038"
"2016-02-10 16:57:20 +0000","Merge pull request #1025 from ministryofjustice/add-custom-mailer-and-layout  Add custom mailer and layout","790","30366","21122","3781","1438","1364","1038"
"2016-02-10 13:16:01 +0000","Merge pull request #1024 from ministryofjustice/add-dependent-destroy-to-provider  ensure provider dependencies destroyed when provider destroyed","786","30291","21105","3764","1423","1364","1038"
"2016-02-09 16:35:58 +0000","Merge pull request #1023 from ministryofjustice/mailer-template-copy-changes  Mailer template copy changes","786","30283","21097","3764","1423","1364","1038"
"2016-02-09 14:27:34 +0000","Merge pull request #1022 from ministryofjustice/fix-provider-edit-roles  Remove disabled property on checkboxes for persisted provider roles","785","30262","21088","3740","1423","1364","1038"
"2016-02-09 11:39:03 +0000","Merge pull request #1021 from ministryofjustice/big-tick-bug  Fix big tick bug for evidence checklist","785","30262","21088","3740","1423","1364","1038"
"2016-02-09 11:28:27 +0000","Merge pull request #1020 from ministryofjustice/add-feesectiondisplay-cuke  Add feesectiondisplay cuke","785","30262","21088","3740","1423","1364","1038"
"2016-02-09 10:56:57 +0000","Merge pull request #1018 from ministryofjustice/fixed-fees-not-hiding  Fixed fees not hiding","784","30255","21081","3740","1423","1364","1038"
"2016-02-09 10:54:02 +0000","Merge pull request #1017 from ministryofjustice/partialise-start-claim  Partialise start a new claim form","784","30254","21081","3740","1423","1363","1038"
"2016-02-09 10:32:44 +0000","Merge pull request #1019 from ministryofjustice/fix-change-password-superadmin-path  Fix form path","774","30317","21081","3753","1398","1389","1038"
"2016-02-09 10:31:51 +0000","Merge pull request #1016 from ministryofjustice/rename-user_roles_spec-to_roles_spec  Rename user_roles shared examples to roles and include in provider spec","774","30317","21081","3753","1398","1389","1038"
"2016-02-08 17:25:53 +0000","Merge pull request #1015 from ministryofjustice/amend-npw-ppe-validations  allow uncalculated (PPE/NPW) fees to have a zero amount with quantities","774","30316","21080","3753","1398","1389","1038"
"2016-02-08 13:29:39 +0000","Merge pull request #1014 from ministryofjustice/correct_litigator_role_test  test returns all three roles; update description to reflect","774","30313","21077","3753","1398","1389","1038"
"2016-02-08 13:26:04 +0000","Merge pull request #1013 from ministryofjustice/add_litigator_role  Add litigator role","774","30313","21077","3753","1398","1389","1038"
"2016-02-08 11:39:31 +0000","Merge pull request #1012 from ministryofjustice/add_vat_to_mi_total  caseworkers need total inc VAT in MI","773","30078","20860","3738","1395","1389","1038"
"2016-02-08 11:22:08 +0000","Merge pull request #1011 from ministryofjustice/add-collection-presenter-and-apply  Add collection presenter and apply","773","30078","20860","3738","1395","1389","1038"
"2016-02-08 09:05:11 +0000","Merge pull request #1008 from ministryofjustice/refactor-primary-nav-bar  Refactor primary nav bar","773","30065","20842","3743","1395","1389","1038"
"2016-02-08 09:04:27 +0000","Merge pull request #1010 from ministryofjustice/fix-markup  Fix markup of start a new claim","773","30054","20831","3743","1395","1389","1038"
"2016-02-05 16:38:54 +0000","Merge pull request #1006 from ministryofjustice/rspec-shared-examples-for-concern  Refactor UserRoles concern tests into shared examples","774","30077","20816","3747","1395","1423","1038"
